word,score
email,0.0036998736394399253
free,0.0036032693115517706
money,0.0033556764635159094
click,0.0029867805263770167
business,0.002600650144660358
company,0.002595109325515873
com,0.0022948599162159653
report,0.0022436044626838857
statements,0.0020782612882884665
order,0.0014967738752156114
receive,0.001491168229679278
http,0.0014409505937855514
make,0.0014116259688548695
online,0.0013975155730713163
internet,0.00138133944984611
save,0.0013281483709909978
time,0.0013048286944801735
investment,0.0013008984040335646
home,0.0012824335779320086
offer,0.0012628169758347606
price,0.0012272817067856589
just,0.0012252454795858739
best,0.0012226656455920338
future,0.0011851129090761838
software,0.0011834661162416756
remove,0.0011767885948839947
send,0.001118604993611712
font,0.0010896892760985334
want,0.0010865299011543403
account,0.00104335521666948
adobe,0.001039708553447147
million,0.0010105707058105963
product,0.0010028046495392964
products,0.0009822195874574083
securities,0.0009749055593103352
website,0.000930784120525961
mail,0.0009268054114330527
marketing,0.0009257402601896623
site,0.0009140786582946775
today,0.0009013476378787053
life,0.0008944438117953826
dollars,0.0008793731732395947
net,0.0008774079816786264
act,0.0008648780990200912
removed,0.0008599395304938037
size,0.0008570249953408272
security,0.0008558980956498114
looking,0.0008508954140508654
people,0.000812696500215577
low,0.0008113079696489391
forward,0.0008092346063219375
companies,0.0007980972968401755
easy,0.0007956683986594967
government,0.0007766063025365308
reply,0.0007726745587722803
link,0.0007684693469655296
info,0.0007652718979074674
professional,0.0007604744626721609
address,0.0007556397326382428
wish,0.0007344372141635275
days,0.0007311659155066938
pills,0.0007275456479027455
orders,0.0007085901382360375
advice,0.000692872899705149
addresses,0.0006874905202670399
cash,0.0006851203979026368
program,0.0006794476006662278
stock,0.0006764619638783678
offers,0.000670742875315685
service,0.0006676790556553893
visit,0.0006652451108818562
color,0.0006637818587258618
viagra,0.0006609744913561999
hours,0.0006605422929437954
family,0.0006534734612475342
information,0.0006529637932818837
bank,0.0006511916809373424
prices,0.0006470575047694081
need,0.0006352133001825608
sales,0.0006303183676939863
services,0.0006288469643216537
stocks,0.0005981571658153021
credit,0.0005907837805248964
buy,0.0005899762175469927
news,0.0005885082754577393
grants,0.0005654622256608097
income,0.0005566136190553975
total,0.0005512893681104406
check,0.0005501841741045504
day,0.000541064622753065
shipping,0.0005382946161780817
high,0.0005377414048500465
programs,0.0005305641107242235
stop,0.0005256343407373976
market,0.0005205288906248677
www,0.0005189833469902351
lose,0.0005185350048165489
guaranteed,0.0005070604048831566
newsletter,0.0005061604572409058
receiving,0.0005049967780822683
unsubscribe,0.0004992318208489736
sites,0.0004968966019788888
cost,0.0004918964436763701
thousands,0.0004891645112152553
country,0.00048683621491132836
quality,0.0004796570448122017
transaction,0.0004781394161096623
results,0.00047290004593583776
watch,0.0004713729713707132
investing,0.00046923672362123335
month,0.00046814285145123195
success,0.0004679265739152321
pay,0.00046298959069872
search,0.00046171117386748623
funds,0.0004615816530759223
mailings,0.00046152035396321945
start,0.0004597814671278927
guarantee,0.00045453827901139406
mortgage,0.0004526289833106792
customers,0.00044961449360407426
paid,0.00044829049876575716
customer,0.00044577390585399056
nbsp,0.00044175540534530414
private,0.0004410824097518185
sell,0.0004409701953756496
pro,0.00043953586213446713
bulk,0.0004387173339802698
increase,0.0004377482266725064
simply,0.0004373924011553009
mails,0.0004361281201199114
registered,0.00043415564933319006
received,0.00043041003553994706
performance,0.0004297181482212914
letter,0.00042686491218101784
remember,0.0004263761045891695
simple,0.0004253026434580469
great,0.00042524639093819816
help,0.0004237206110193207
prescription,0.0004213447947389399
don,0.0004201182971538908
mailing,0.0004198589649072349
phone,0.000415942004261952
message,0.00041176102143675414
right,0.00040904950001451805
opportunity,0.0004082400610633107
card,0.0004072778763217052
states,0.000404489691340742
weight,0.0004037704704170495
rates,0.0004000103641683673
industry,0.0003976085089291968
guide,0.00039552569973961
advertising,0.0003921880553772189
line,0.00038946592543828446
hello,0.00038870581644076784
fast,0.00038558192631794945
risks,0.0003854304091777315
download,0.0003840011225294033
growth,0.00038354375714879415
emails,0.0003793938598752402
thousand,0.0003781189043270855
health,0.0003757748869175389
advertisement,0.00037541999938698527
oil,0.000373327453671285
claim,0.00037268337699261145
personal,0.00037158445822975584
face,0.0003706373472706465
opt,0.0003690540201856733
lottery,0.0003689138248813442
cialis,0.0003683074656569442
instructions,0.000365845896614846
expectations,0.00036526593300883093
huge,0.0003606234761968213
fund,0.0003599014413131733
party,0.00035461050855275936
united,0.00035273611634636254
complete,0.0003492240205084477
read,0.00034798742973769
transfer,0.00034797199929559894
trade,0.00034759951468612204
legal,0.00034501188613553896
approved,0.0003448245275143511
removal,0.00034313778459267054
safe,0.000342493707913997
special,0.00033963484395381244
worldwide,0.00033906050826770827
mobile,0.00033754634084824783
sightings,0.0003364948760657793
events,0.0003361126549301889
provided,0.0003349813559694424
hundreds,0.00033471950042635913
months,0.00033387111537069793
brand,0.0003337381332960551
reports,0.00033174431348380307
learn,0.0003315780132246175
soft,0.0003309857897960618
dear,0.00033038541515116793
step,0.00032965551971471017
purchase,0.00032836390507428405
uncertainties,0.00032658788211174046
list,0.00032585718068076476
